scenario,group,targetTier,payType,startPayment,cancelAnchor,cancelOffsetSeconds,callbackAnchor,callbackOffsetSeconds,protocol,replayMode,paymentAttemptCheck,raceMode,expectedStatus,expectedResolution
LONG-U-01,CLOSED,GO,alipay,true,NONE,0,HARD_CLOSE,1,NONE,NONE,NONE,NONE,CLOSED,NONE
LONG-U-02,CLOSED,GO,wxpay,true,NONE,0,HARD_CLOSE,10,NONE,NONE,NONE,NONE,CLOSED,NONE
LONG-U-03,CLOSED,GO,alipay,true,NONE,0,HARD_CLOSE,30,NONE,NONE,NONE,NONE,CLOSED,NONE
LONG-U-04,CLOSED,GO,wxpay,true,NONE,0,HARD_CLOSE,60,NONE,NONE,NONE,NONE,CLOSED,NONE
LONG-A-01,PENDING_PAYMENT,GO,alipay,true,NONE,0,CREATED,30,GET,NONE,NONE,NONE,PAID,APPLIED
LONG-A-02,PENDING_PAYMENT,GO,wxpay,true,NONE,0,EXPIRES,-1,POST_JSON,NONE,NONE,NONE,PAID,APPLIED
LONG-A-03,CLOSING,GO,alipay,true,NONE,0,EXPIRES,30,POST_FORM,NONE,NONE,NONE,PAID,APPLIED
LONG-A-04,CLOSING,GO,wxpay,true,NONE,0,HARD_CLOSE,-10,GET,NONE,NONE,NONE,PAID,APPLIED
LONG-R-01,PENDING_PAYMENT,GO,alipay,true,NONE,0,CREATED,30,POST_JSON,NONE,NONE,NONE,CLOSED,REJECTED
LONG-R-02,PENDING_PAYMENT,GO,wxpay,true,NONE,0,EXPIRES,-1,GET,NONE,NONE,NONE,CLOSED,REJECTED
LONG-R-03,CLOSING,GO,alipay,true,NONE,0,EXPIRES,30,POST_FORM,NONE,NONE,NONE,CLOSED,REJECTED
LONG-R-04,CLOSING,GO,wxpay,true,NONE,0,HARD_CLOSE,-10,POST_JSON,NONE,NONE,NONE,CLOSED,REJECTED
